"date","sales","price","mortgage_rate","income","unrate","permit","months_supply","construction_cost","housing_starts","under_construction","log_sales","log_price","log_income","log_permit","log_construction_cost","log_starts","log_under_construction","trend","trend2","month"
2011-09-01,304,217000,4.106,12781.7,9,610,6.3,202.7,650,417,5.71702770140622,12.2876526325226,9.45576973942939,6.41345895716736,5.31172705345795,6.47697236288968,6.0330862217988,141,19881,"09"
2011-10-01,316,224800,4.0675,12791.9,8.8,671,6,202.7,610,422,5.75574221358691,12.3229663970017,9.45656743709737,6.50876913697168,5.31172705345795,6.41345895716736,6.04500531403601,142,20164,"10"
2011-11-01,328,214300,3.9925,12782.7,8.6,706,5.7,202.2,711,433,5.79301360838414,12.2751321814617,9.4558479732233,6.55961523749324,5.30925730658637,6.56667242980324,6.07073772800249,143,20449,"11"
2011-12-01,341,218600,3.958,12898.5,8.5,697,5.3,202.2,694,434,5.83188247728352,12.2949988547246,9.46486630451906,6.54678541076052,5.30925730658637,6.5424719605068,6.0730445341004,144,20736,"12"
2012-01-01,335,221700,3.915,12967.5,8.3,712,5.3,203.9,723,441,5.81413053182507,12.3090803956044,9.47020150622556,6.56807791141198,5.31762967758041,6.58340922215876,6.08904487544685,145,21025,"01"
2012-02-01,366,239900,3.89,13029.6,8.3,738,4.8,205.1,704,450,5.90263333340137,12.3879774488278,9.47497897125935,6.60394382460047,5.32349766507834,6.55677835615804,6.10924758276437,146,21316,"02"
2012-03-01,354,239800,3.954,13066.4,8.2,806,4.9,205.7,695,458,5.86929691313377,12.3875605215756,9.47779932873893,6.69208374250663,5.32641879665891,6.54391184556479,6.12686918411419,147,21609,"03"
2012-04-01,354,236400,3.91,13116.5,8.2,732,4.9,206.3,753,463,5.86929691313377,12.3732805645141,9.48162625861641,6.59578051396131,5.32933142007721,6.62406522779989,6.13772705408623,148,21904,"04"
2012-05-01,370,239200,3.798,13112.5,8.2,796,4.7,206.5,708,474,5.91350300563827,12.3850553010586,9.48132125270455,6.67959918584438,5.33030041240109,6.56244409369372,6.16120732169508,149,22201,"05"
2012-06-01,360,232600,3.675,13097.2,8.2,794,4.8,206.6,757,486,5.88610403145016,12.3570755190667,9.48015374588548,6.67708346124714,5.33078455668554,6.62936325343745,6.18620862390049,150,22500,"06"
