"equation","method","term","estimate","standard_error","statistic","p_value","N"
"lagged_IV_demand","2SLS_manual_HC3","log_price",-0.259242660409807,0.420369148740693,-0.616702394042058,0.537911558700093,297
"lagged_IV_demand","2SLS_manual_HC3","mortgage_rate",0.0336341448467577,0.0157275629934348,2.13854777506202,0.0333019658841194,297
"lagged_IV_demand","2SLS_manual_HC3","log_income",-0.287353904678478,0.750876939163571,-0.382691077180465,0.70222724428118,297
"lagged_IV_demand","2SLS_manual_HC3","unrate",-0.120313724650859,0.0199771413325751,-6.02256962835184,5.15131556210866e-09,297
"lagged_IV_supply","2SLS_manual_HC3","(Intercept)",6.80794548172388,1.39543707290708,4.87871908658773,1.75823792961949e-06,297
"lagged_IV_supply","2SLS_manual_HC3","log_price",-0.904397276809032,0.222762882002718,-4.05991011015021,6.31038239137418e-05,297
"lagged_IV_supply","2SLS_manual_HC3","log_permit",1.13370932122469,0.0300862268261842,37.6820040536959,3.68125507737301e-114,297
"lagged_IV_supply","2SLS_manual_HC3","months_supply",0.00954094717738367,0.0066834741610399,1.42754306330694,0.154491965367732,297
"lagged_IV_supply","2SLS_manual_HC3","log_construction_cost",0.521958449398681,0.244652673406531,2.13346718076267,0.0337198326475351,297
"pre_covid_demand","2SLS_manual_HC3","(Intercept)",33.6900002147045,2.97168056826622,11.3370193871007,4.73912996991154e-24,240
"pre_covid_demand","2SLS_manual_HC3","log_price",2.38654875672607,0.304306871060109,7.84257269121823,1.53924926251313e-13,240
"pre_covid_demand","2SLS_manual_HC3","mortgage_rate",-0.039974694990176,0.0290122761870384,-1.37785448933632,0.169558843282505,240
"pre_covid_demand","2SLS_manual_HC3","log_income",-5.91691647291972,0.497772637492635,-11.8867853056854,7.96964262400815e-26,240
"pre_covid_demand","2SLS_manual_HC3","unrate",-0.138315543288611,0.0139286564811215,-9.93028605997144,1.24776947482376e-19,240
"pre_covid_supply","2SLS_manual_HC3","(Intercept)",1.07444041065013,1.0157831008046,1.05774590047725,0.291257379046508,240
"pre_covid_supply","2SLS_manual_HC3","log_price",0.251225920443123,0.243235614044667,1.03285006774127,0.302735821397515,240
"pre_covid_supply","2SLS_manual_HC3","log_permit",0.98262801618542,0.0517783698309281,18.9775773048475,2.54583014542634e-49,240
